id,Expected
0,neutral
1,neutral
2,anger
3,neutral
4,non-neutral
5,neutral
6,anger
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,joy
14,neutral
15,neutral
16,neutral
17,surprise
18,non-neutral
19,anger
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,neutral
26,neutral
27,neutral
28,anger
29,neutral
30,neutral
31,joy
32,neutral
33,neutral
34,neutral
35,neutral
36,non-neutral
37,non-neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,non-neutral
45,neutral
46,anger
47,neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,neutral
58,neutral
59,non-neutral
60,neutral
61,non-neutral
62,anger
63,neutral
64,neutral
65,non-neutral
66,non-neutral
67,neutral
68,neutral
69,neutral
70,surprise
71,neutral
72,neutral
73,neutral
74,neutral
75,anger
76,neutral
77,surprise
78,neutral
79,neutral
80,joy
81,neutral
82,neutral
83,neutral
84,neutral
85,non-neutral
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,non-neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,surprise
100,neutral
101,non-neutral
102,non-neutral
103,joy
104,neutral
105,neutral
106,neutral
107,neutral
108,non-neutral
109,non-neutral
110,joy
111,neutral
112,non-neutral
113,neutral
114,non-neutral
115,non-neutral
116,surprise
117,neutral
118,joy
119,neutral
120,neutral
121,neutral
122,anger
123,sadness
124,neutral
125,neutral
126,neutral
127,anger
128,neutral
129,neutral
130,neutral
131,neutral
132,non-neutral
133,anger
134,surprise
135,joy
136,non-neutral
137,anger
138,neutral
139,non-neutral
140,non-neutral
141,joy
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,non-neutral
148,neutral
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,non-neutral
155,anger
156,neutral
157,neutral
158,neutral
159,neutral
160,non-neutral
161,neutral
162,neutral
163,neutral
164,non-neutral
165,neutral
166,non-neutral
167,neutral
168,neutral
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,surprise
175,neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,non-neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,non-neutral
193,non-neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,non-neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,joy
205,joy
206,neutral
207,joy
208,surprise
209,neutral
210,neutral
211,neutral
212,non-neutral
213,neutral
214,neutral
215,neutral
216,non-neutral
217,anger
218,disgust
219,joy
220,neutral
221,neutral
222,neutral
223,non-neutral
224,neutral
225,neutral
226,neutral
227,non-neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,non-neutral
234,neutral
235,neutral
236,neutral
237,non-neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,surprise
243,surprise
244,neutral
245,surprise
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,non-neutral
254,neutral
255,fear
256,non-neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,neutral
266,neutral
267,neutral
268,neutral
269,non-neutral
270,non-neutral
271,neutral
272,neutral
273,fear
274,joy
275,non-neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,anger
281,joy
282,neutral
283,neutral
284,neutral
285,neutral
286,non-neutral
287,neutral
288,non-neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,neutral
298,joy
299,anger
300,neutral
301,anger
302,neutral
303,neutral
304,neutral
305,neutral
306,non-neutral
307,neutral
308,surprise
309,neutral
310,neutral
311,neutral
312,neutral
313,non-neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,neutral
320,neutral
321,non-neutral
322,neutral
323,sadness
324,joy
325,neutral
326,anger
327,anger
328,neutral
329,neutral
330,non-neutral
331,non-neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,non-neutral
337,neutral
338,neutral
339,non-neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,joy
345,joy
346,non-neutral
347,neutral
348,neutral
349,non-neutral
350,neutral
351,non-neutral
352,joy
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,non-neutral
360,neutral
361,non-neutral
362,neutral
363,neutral
364,neutral
365,anger
366,neutral
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,joy
373,non-neutral
374,neutral
375,neutral
376,joy
377,non-neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,non-neutral
383,neutral
384,neutral
385,neutral
386,anger
387,non-neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,non-neutral
394,neutral
395,non-neutral
396,neutral
397,non-neutral
398,neutral
399,neutral
400,non-neutral
401,neutral
402,fear
403,fear
404,disgust
405,non-neutral
406,neutral
407,disgust
408,neutral
409,neutral
410,neutral
411,non-neutral
412,neutral
413,non-neutral
414,neutral
415,neutral
416,non-neutral
417,neutral
418,neutral
419,non-neutral
420,neutral
421,joy
422,anger
423,neutral
424,neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,non-neutral
436,non-neutral
437,neutral
438,non-neutral
439,neutral
440,neutral
441,neutral
442,joy
443,non-neutral
444,surprise
445,neutral
446,neutral
447,neutral
448,non-neutral
449,neutral
450,neutral
451,surprise
452,neutral
453,neutral
454,joy
455,neutral
456,neutral
457,neutral
458,neutral
459,neutral
460,neutral
461,non-neutral
462,neutral
463,anger
464,neutral
465,neutral
466,anger
467,neutral
468,neutral
469,neutral
470,sadness
471,anger
472,neutral
473,joy
474,non-neutral
475,non-neutral
476,non-neutral
477,sadness
478,anger
479,neutral
480,neutral
481,neutral
482,sadness
483,non-neutral
484,neutral
485,neutral
486,neutral
487,non-neutral
488,non-neutral
489,neutral
490,neutral
491,joy
492,neutral
493,neutral
494,neutral
495,neutral
496,neutral
497,neutral
498,neutral
499,non-neutral
500,neutral
501,fear
502,neutral
503,neutral
504,surprise
505,neutral
506,neutral
507,anger
508,neutral
509,neutral
510,non-neutral
511,non-neutral
512,neutral
513,neutral
514,non-neutral
515,neutral
516,neutral
517,joy
518,neutral
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,non-neutral
531,neutral
532,neutral
533,neutral
534,neutral
535,joy
536,joy
537,neutral
538,neutral
539,neutral
540,neutral
541,neutral
542,sadness
543,neutral
544,neutral
545,neutral
546,non-neutral
547,joy
548,neutral
549,neutral
550,neutral
551,neutral
552,joy
553,neutral
554,neutral
555,neutral
556,non-neutral
557,neutral
558,anger
559,neutral
560,anger
561,neutral
562,neutral
563,non-neutral
564,neutral
565,neutral
566,joy
567,neutral
568,neutral
569,joy
570,neutral
571,neutral
572,non-neutral
573,neutral
574,neutral
575,neutral
576,neutral
577,neutral
578,neutral
579,neutral
580,neutral
581,neutral
582,neutral
583,neutral
584,non-neutral
585,surprise
586,anger
587,surprise
588,neutral
589,neutral
590,non-neutral
591,surprise
592,surprise
593,anger
594,neutral
595,non-neutral
596,neutral
597,neutral
598,anger
599,fear
600,disgust
601,neutral
602,neutral
603,neutral
604,neutral
605,neutral
606,anger
607,surprise
608,surprise
609,surprise
610,neutral
611,neutral
612,non-neutral
613,non-neutral
614,non-neutral
615,surprise
616,anger
617,neutral
618,neutral
619,joy
620,surprise
621,neutral
622,disgust
623,non-neutral
624,anger
625,neutral
626,non-neutral
627,neutral
628,neutral
629,neutral
630,disgust
631,neutral
632,neutral
633,neutral
634,neutral
635,neutral
636,non-neutral
637,non-neutral
638,neutral
639,neutral
640,joy
641,neutral
642,neutral
643,non-neutral
644,neutral
645,neutral
646,non-neutral
647,neutral
648,neutral
649,sadness
650,joy
651,neutral
652,non-neutral
653,neutral
654,joy
655,disgust
656,neutral
657,neutral
658,neutral
659,non-neutral
660,neutral
661,neutral
662,neutral
663,neutral
664,joy
665,neutral
666,neutral
667,neutral
668,neutral
669,neutral
670,neutral
671,joy
672,neutral
673,neutral
674,neutral
675,joy
676,anger
677,neutral
678,neutral
679,neutral
680,anger
681,neutral
682,neutral
683,neutral
684,neutral
685,neutral
686,neutral
687,non-neutral
688,neutral
689,neutral
690,neutral
691,joy
692,anger
693,neutral
694,anger
695,surprise
696,neutral
697,non-neutral
698,neutral
699,neutral
700,neutral
701,non-neutral
702,joy
703,neutral
704,neutral
705,surprise
706,neutral
707,neutral
708,neutral
709,joy
710,neutral
711,non-neutral
712,neutral
713,neutral
714,neutral
715,neutral
716,neutral
717,neutral
718,joy
719,neutral
720,neutral
721,neutral
722,non-neutral
723,neutral
724,non-neutral
725,neutral
726,non-neutral
727,neutral
728,neutral
729,neutral
730,neutral
731,neutral
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,non-neutral
738,surprise
739,surprise
740,neutral
741,anger
742,neutral
743,neutral
744,neutral
745,neutral
746,neutral
747,neutral
748,neutral
749,non-neutral
750,neutral
751,neutral
752,neutral
753,neutral
754,surprise
755,neutral
756,joy
757,neutral
758,neutral
759,anger
760,neutral
761,non-neutral
762,neutral
763,neutral
764,non-neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,surprise
770,neutral
771,non-neutral
772,surprise
773,surprise
774,neutral
775,neutral
776,non-neutral
777,anger
778,neutral
779,neutral
780,neutral
781,neutral
782,neutral
783,neutral
784,joy
785,neutral
786,neutral
787,neutral
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,anger
794,neutral
795,neutral
796,joy
797,non-neutral
798,non-neutral
799,neutral
800,neutral
801,neutral
802,neutral
803,neutral
804,neutral
805,neutral
806,neutral
807,neutral
808,anger
809,neutral
810,neutral
811,neutral
812,neutral
813,anger
814,neutral
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,neutral
823,neutral
824,neutral
825,neutral
826,surprise
827,neutral
828,neutral
829,neutral
830,neutral
831,neutral
832,neutral
833,sadness
834,disgust
835,neutral
836,sadness
837,neutral
838,neutral
839,neutral
840,neutral
841,neutral
842,neutral
843,neutral
844,joy
845,neutral
846,disgust
847,joy
848,neutral
849,neutral
850,neutral
851,neutral
852,non-neutral
853,surprise
854,neutral
855,neutral
856,joy
857,joy
858,neutral
859,neutral
860,neutral
861,neutral
862,neutral
863,neutral
864,non-neutral
865,neutral
866,neutral
867,neutral
868,neutral
869,surprise
870,non-neutral
871,neutral
872,neutral
873,non-neutral
874,anger
875,neutral
876,neutral
877,neutral
878,neutral
879,neutral
880,anger
881,neutral
882,neutral
883,joy
884,neutral
885,non-neutral
886,neutral
887,neutral
888,neutral
889,neutral
890,anger
891,neutral
892,neutral
893,neutral
894,neutral
895,neutral
896,disgust
897,neutral
898,non-neutral
899,neutral
900,joy
901,neutral
902,neutral
903,neutral
904,neutral
905,neutral
906,neutral
907,neutral
908,surprise
909,non-neutral
910,neutral
911,joy
912,neutral
913,neutral
914,neutral
915,anger
916,neutral
917,neutral
918,neutral
919,neutral
920,neutral
921,neutral
922,neutral
923,disgust
924,neutral
925,neutral
926,joy
927,neutral
928,neutral
929,non-neutral
930,non-neutral
931,surprise
932,neutral
933,neutral
934,neutral
935,neutral
936,neutral
937,neutral
938,neutral
939,non-neutral
940,anger
941,neutral
942,neutral
943,neutral
944,neutral
945,neutral
946,non-neutral
947,non-neutral
948,anger
949,neutral
950,neutral
951,neutral
952,non-neutral
953,neutral
954,neutral
955,joy
956,neutral
957,neutral
958,neutral
959,non-neutral
960,neutral
961,neutral
962,neutral
963,non-neutral
964,neutral
965,neutral
966,surprise
967,neutral
968,neutral
969,neutral
970,neutral
971,non-neutral
972,neutral
973,joy
974,neutral
975,non-neutral
976,neutral
977,neutral
978,joy
979,neutral
980,neutral
981,surprise
982,non-neutral
983,non-neutral
984,non-neutral
985,neutral
986,non-neutral
987,non-neutral
988,non-neutral
989,joy
990,joy
991,neutral
992,disgust
993,neutral
994,neutral
995,neutral
996,neutral
997,neutral
998,neutral
999,neutral
1000,neutral
1001,fear
1002,neutral
1003,neutral
1004,neutral
1005,joy
1006,neutral
1007,neutral
1008,surprise
1009,anger
1010,neutral
1011,neutral
1012,non-neutral
1013,neutral
1014,neutral
1015,neutral
1016,anger
1017,neutral
1018,neutral
1019,non-neutral
1020,neutral
1021,non-neutral
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,neutral
1027,neutral
1028,neutral
1029,neutral
1030,neutral
1031,neutral
1032,non-neutral
1033,disgust
1034,neutral
1035,neutral
1036,neutral
1037,neutral
1038,non-neutral
1039,joy
1040,neutral
1041,neutral
1042,non-neutral
1043,neutral
1044,neutral
1045,neutral
1046,neutral
1047,non-neutral
1048,non-neutral
1049,neutral
1050,neutral
1051,neutral
1052,neutral
1053,anger
1054,non-neutral
1055,neutral
1056,non-neutral
1057,neutral
1058,non-neutral
1059,non-neutral
1060,neutral
1061,neutral
1062,non-neutral
1063,non-neutral
1064,neutral
1065,neutral
1066,joy
1067,neutral
1068,non-neutral
1069,neutral
1070,neutral
1071,neutral
1072,neutral
1073,non-neutral
1074,non-neutral
1075,non-neutral
1076,neutral
1077,non-neutral
1078,neutral
1079,neutral
1080,anger
1081,non-neutral
1082,neutral
1083,neutral
1084,surprise
1085,surprise
1086,non-neutral
1087,neutral
1088,neutral
1089,non-neutral
1090,neutral
1091,neutral
1092,neutral
1093,neutral
1094,surprise
1095,neutral
1096,surprise
1097,neutral
1098,neutral
1099,neutral
1100,neutral
1101,neutral
1102,neutral
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,neutral
1112,neutral
1113,neutral
1114,neutral
1115,neutral
1116,neutral
1117,non-neutral
1118,anger
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,neutral
1125,neutral
1126,joy
1127,joy
1128,neutral
1129,surprise
1130,non-neutral
1131,neutral
1132,non-neutral
1133,non-neutral
1134,non-neutral
1135,neutral
1136,neutral
1137,neutral
1138,neutral
1139,neutral
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,neutral
1147,joy
1148,neutral
1149,neutral
1150,neutral
1151,joy
1152,anger
1153,neutral
1154,neutral
1155,neutral
1156,neutral
1157,neutral
1158,neutral
1159,joy
1160,neutral
1161,neutral
1162,neutral
1163,non-neutral
1164,neutral
1165,non-neutral
1166,neutral
1167,neutral
1168,neutral
1169,neutral
1170,non-neutral
1171,anger
1172,neutral
1173,joy
1174,neutral
1175,neutral
1176,disgust
1177,neutral
1178,neutral
1179,neutral
1180,neutral
1181,neutral
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,neutral
1189,non-neutral
1190,neutral
1191,joy
1192,neutral
1193,neutral
1194,joy
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,neutral
1200,non-neutral
1201,neutral
1202,joy
1203,neutral
1204,neutral
1205,neutral
1206,neutral
1207,neutral
1208,anger
1209,surprise
1210,non-neutral
1211,non-neutral
1212,neutral
1213,joy
1214,neutral
1215,neutral
1216,neutral
1217,neutral
1218,neutral
1219,neutral
1220,neutral
1221,disgust
1222,neutral
1223,joy
1224,sadness
1225,joy
1226,neutral
1227,neutral
1228,joy
1229,neutral
1230,neutral
1231,neutral
1232,non-neutral
1233,neutral
1234,neutral
1235,neutral
1236,neutral
1237,neutral
1238,joy
1239,neutral
1240,neutral
1241,neutral
1242,neutral
1243,neutral
1244,neutral
1245,disgust
1246,neutral
1247,neutral
1248,neutral
1249,neutral
1250,neutral
1251,neutral
1252,neutral
1253,non-neutral
1254,non-neutral
1255,neutral
1256,neutral
1257,neutral
1258,neutral
1259,neutral
1260,neutral
1261,anger
1262,anger
1263,joy
1264,surprise
1265,neutral
1266,neutral
1267,joy
1268,neutral
1269,neutral
1270,neutral
1271,non-neutral
1272,neutral
1273,neutral
1274,neutral
1275,neutral
1276,non-neutral
1277,neutral
1278,neutral
1279,neutral
1280,surprise
1281,neutral
1282,neutral
1283,neutral
1284,neutral
1285,neutral
1286,neutral
1287,neutral
1288,anger
1289,joy
1290,neutral
1291,neutral
1292,neutral
1293,neutral
1294,non-neutral
1295,neutral
1296,neutral
1297,disgust
1298,neutral
1299,neutral
1300,neutral
1301,neutral
1302,neutral
1303,joy
1304,neutral
1305,neutral
1306,neutral
1307,joy
1308,neutral
1309,anger
1310,non-neutral
1311,neutral
1312,neutral
1313,neutral
1314,neutral
1315,anger
1316,neutral
1317,anger
1318,neutral
1319,neutral
1320,anger
1321,neutral
1322,surprise
1323,neutral
1324,neutral
1325,anger
1326,neutral
1327,neutral
1328,neutral
1329,neutral
1330,neutral
1331,neutral
1332,neutral
1333,neutral
1334,neutral
1335,neutral
1336,neutral
1337,disgust
1338,neutral
1339,anger
1340,anger
1341,neutral
1342,neutral
1343,disgust
1344,neutral
1345,neutral
1346,neutral
1347,joy
1348,neutral
1349,neutral
1350,non-neutral
1351,neutral
1352,surprise
1353,neutral
1354,neutral
1355,neutral
1356,neutral
1357,neutral
1358,non-neutral
1359,neutral
1360,non-neutral
1361,neutral
1362,non-neutral
1363,neutral
1364,disgust
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,disgust
1370,anger
1371,neutral
1372,neutral
1373,surprise
1374,non-neutral
1375,neutral
1376,neutral
1377,neutral
1378,neutral
1379,anger
1380,neutral
1381,neutral
1382,non-neutral
1383,neutral
1384,non-neutral
1385,neutral
1386,neutral
1387,anger
1388,neutral
1389,neutral
1390,anger
1391,neutral
1392,joy
1393,neutral
1394,joy
1395,neutral
1396,neutral
1397,joy
1398,neutral
1399,neutral
1400,neutral
1401,anger
1402,neutral
1403,neutral
1404,neutral
1405,surprise
1406,neutral
1407,anger
1408,non-neutral
1409,neutral
1410,neutral
1411,sadness
1412,joy
1413,neutral
1414,neutral
1415,non-neutral
1416,neutral
1417,neutral
1418,surprise
1419,non-neutral
1420,joy
1421,neutral
1422,neutral
1423,neutral
1424,surprise
1425,neutral
1426,neutral
1427,sadness
1428,joy
1429,joy
1430,neutral
1431,sadness
1432,neutral
1433,neutral
1434,neutral
1435,neutral
1436,neutral
1437,non-neutral
1438,neutral
1439,neutral
1440,neutral
1441,joy
1442,neutral
1443,non-neutral
1444,neutral
1445,non-neutral
1446,neutral
1447,non-neutral
1448,neutral
1449,non-neutral
1450,joy
1451,neutral
1452,neutral
1453,neutral
1454,neutral
1455,neutral
1456,neutral
1457,neutral
1458,neutral
1459,anger
1460,neutral
1461,neutral
1462,neutral
1463,non-neutral
1464,neutral
1465,neutral
1466,neutral
1467,neutral
1468,neutral
1469,neutral
1470,neutral
1471,neutral
1472,neutral
1473,neutral
1474,neutral
1475,neutral
1476,neutral
1477,neutral
1478,anger
1479,neutral
1480,neutral
1481,neutral
1482,neutral
1483,neutral
1484,anger
1485,neutral
1486,neutral
1487,neutral
1488,neutral
1489,non-neutral
1490,neutral
1491,non-neutral
1492,neutral
1493,non-neutral
1494,neutral
1495,neutral
1496,surprise
1497,neutral
1498,neutral
1499,neutral
1500,sadness
1501,neutral
1502,neutral
1503,neutral
1504,neutral
1505,neutral
1506,neutral
1507,non-neutral
1508,neutral
1509,surprise
1510,disgust
1511,neutral
1512,neutral
1513,neutral
1514,non-neutral
1515,neutral
1516,neutral
1517,neutral
1518,anger
1519,non-neutral
1520,anger
1521,neutral
1522,non-neutral
1523,neutral
1524,neutral
1525,neutral
1526,neutral
1527,neutral
1528,neutral
1529,neutral
1530,neutral
1531,surprise
1532,neutral
1533,neutral
1534,non-neutral
1535,neutral
1536,neutral
1537,neutral
1538,neutral
1539,neutral
1540,neutral
1541,neutral
1542,neutral
1543,neutral
1544,neutral
1545,neutral
1546,neutral
1547,joy
1548,neutral
1549,neutral
1550,surprise
1551,neutral
1552,non-neutral
1553,neutral
1554,neutral
1555,neutral
1556,neutral
1557,anger
1558,anger
1559,neutral
1560,neutral
1561,joy
1562,joy
1563,neutral
1564,neutral
1565,surprise
1566,neutral
1567,anger
1568,neutral
1569,neutral
1570,neutral
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,neutral
1576,neutral
1577,joy
1578,neutral
1579,neutral
1580,neutral
1581,neutral
1582,non-neutral
1583,non-neutral
1584,neutral
1585,neutral
1586,neutral
1587,neutral
1588,non-neutral
1589,anger
1590,neutral
1591,neutral
1592,neutral
1593,surprise
1594,non-neutral
1595,neutral
1596,neutral
1597,non-neutral
1598,non-neutral
1599,neutral
1600,neutral
1601,surprise
1602,neutral
1603,neutral
1604,neutral
1605,neutral
1606,neutral
1607,joy
1608,surprise
1609,surprise
1610,surprise
1611,neutral
1612,non-neutral
1613,neutral
1614,non-neutral
1615,neutral
1616,neutral
1617,non-neutral
1618,neutral
1619,neutral
1620,neutral
1621,neutral
1622,non-neutral
